gstin,supplier name,invoice no,invoice date,taxable amount,igst,cgst,sgst,total
07AAACH8642U1Z1,Hindustan Unilever,INV-0037,2025-06-10,202236.22,0.00,28313.07,28313.07,258862.36
07AAACS7531V1Z3,Sun Pharma,INV-0038,2025-06-11,70596.51,0.00,4235.79,4235.79,79068.09
27AAACC6420W1Z5,Coal India,INV-0039,2025-06-12,228718.35,41169.30,0.00,0.00,269887.65
27AAACN5319X1Z7,NTPC Limited,INV-0040,2025-06-13,57093.50,0.00,7993.09,7993.09,73079.68
27AAACG1234F1Z5,Reliance Industries,INV-0041,2025-06-14,101929.82,0.00,14270.17,14270.17,130470.16
27AAACH5678B1Z2,Tata Steel Limited,INV-0042,2025-06-15,40003.54,4800.42,0.00,0.00,44803.96
07AAACI2345D1Z6,Infosys Limited,INV-0043,2025-06-16,65423.74,0.00,5888.14,5888.14,77200.02
27AAACJ8765E1Z3,Bharat Petroleum,INV-0044,2025-06-17,188018.38,0.00,26322.57,26322.57,240663.52
27AAACK4321F1Z4,ITC Limited,INV-0045,2025-06-18,224966.61,62990.65,0.00,0.00,287957.26
07AAACL9876G1Z1,Wipro Limited,INV-0046,2025-06-19,93689.13,0.00,5621.35,5621.35,104931.83
27AAACM2468H1Z7,Maruti Suzuki India,INV-0047,2025-06-20,129833.94,0.00,3245.85,3245.85,136325.64
27AAACN1357I1Z8,Tata Motors,INV-0048,2025-06-21,190166.63,9508.33,0.00,0.00,199674.96
07AAACO8642J1Z9,Asian Paints,INV-0049,2025-06-22,42446.12,0.00,2546.77,2546.77,47539.66
27AAACP7531K1Z1,Godrej Industries,INV-0050,2025-06-23,199059.44,0.00,27868.32,27868.32,254796.08
07AAACX9999H1Z3,HDFC Bank,INV-0051,2025-06-24,151120.21,42313.66,0.00,0.00,193433.87
07AAACY7777A1Z5,ICICI Bank,INV-0052,2025-06-25,98496.73,0.00,13789.54,13789.54,126075.81
27AAACL1234Q1Z2,Larsen & Toubro,INV-0053,2025-06-26,134633.01,0.00,3365.83,3365.83,141364.67
27AAACM5678R1Z4,Mahindra & Mahindra,INV-0054,2025-06-27,171669.44,8583.47,0.00,0.00,180252.91
27AAACA2468S1Z6,Adani Enterprises,INV-0055,2025-06-28,172019.04,0.00,15481.71,15481.71,202982.46
27AAACB1357T1Z8,Bajaj Auto,INV-0056,2025-06-01,193306.69,0.00,17397.60,17397.60,228101.89
07AAACH8642U1Z1,Hindustan Unilever,INV-0057,2025-06-02,32330.28,9052.48,0.00,0.00,41382.76
07AAACS7531V1Z3,Sun Pharma,INV-0058,2025-06-03,43748.65,0.00,1093.72,1093.72,45936.09
27AAACC6420W1Z5,Coal India,INV-0059,2025-06-04,238684.90,0.00,21481.64,21481.64,281648.18
27AAACN5319X1Z7,NTPC Limited,INV-0060,2025-06-05,243112.58,29173.51,0.00,0.00,272286.09
27AAACG1234F1Z5,Reliance Industries,INV-0061,2025-06-06,129382.01,0.00,3234.55,3234.55,135851.11
27AAACH5678B1Z2,Tata Steel Limited,INV-0062,2025-06-07,218277.05,0.00,19644.93,19644.93,257566.91
07AAACI2345D1Z6,Infosys Limited,INV-0063,2025-06-08,211208.99,25345.08,0.00,0.00,236554.07
27AAACJ8765E1Z3,Bharat Petroleum,INV-0064,2025-06-09,42445.62,0.00,2546.74,2546.74,47539.10
27AAACK4321F1Z4,ITC Limited,INV-0065,2025-06-10,137147.86,0.00,3428.70,3428.70,144005.26
07AAACL9876G1Z1,Wipro Limited,INV-0066,2025-06-11,151741.42,42487.60,0.00,0.00,194229.02
27AAACM2468H1Z7,Maruti Suzuki India,INV-0067,2025-06-12,9771.80,0.00,879.46,879.46,11530.72
27AAACN1357I1Z8,Tata Motors,INV-0068,2025-06-13,220286.86,0.00,19825.82,19825.82,259938.50
07AAACO8642J1Z9,Asian Paints,INV-0069,2025-06-14,63665.82,7639.90,0.00,0.00,71305.72
27AAACP7531K1Z1,Godrej Industries,INV-0070,2025-06-15,220112.35,0.00,5502.81,5502.81,231117.97
07AAACX9999H1Z3,HDFC Bank,INV-0071,2025-06-16,25985.10,0.00,3637.91,3637.91,33260.92
07AAACY7777A1Z5,ICICI Bank,INV-0072,2025-06-17,204925.70,24591.08,0.00,0.00,229516.78
27AAACL1234Q1Z2,Larsen & Toubro,INV-0073,2025-06-18,36455.91,0.00,5103.83,5103.83,46663.57
27AAACM5678R1Z4,Mahindra & Mahindra,INV-0074,2025-06-19,236977.93,0.00,14218.68,14218.68,265415.29
27AAACA2468S1Z6,Adani Enterprises,INV-0075,2025-06-20,69938.87,19582.88,0.00,0.00,89521.75
27AAACB1357T1Z8,Bajaj Auto,INV-0076,2025-06-21,241268.91,0.00,14476.13,14476.13,270221.17
07AAACH8642U1Z1,Hindustan Unilever,INV-0077,2025-06-22,179672.50,0.00,25154.15,25154.15,229980.80
07AAACS7531V1Z3,Sun Pharma,INV-0078,2025-06-23,248811.59,44786.09,0.00,0.00,293597.68
27AAACC6420W1Z5,Coal India,INV-0079,2025-06-24,112334.52,0.00,15726.83,15726.83,143788.18
27AAACN5319X1Z7,NTPC Limited,INV-0080,2025-06-25,34646.03,0.00,2078.76,2078.76,38803.55
27AAACG1234F1Z5,Reliance Industries,INV-0081,2025-06-26,20686.34,1034.32,0.00,0.00,21720.66
27AAACH5678B1Z2,Tata Steel Limited,INV-0082,2025-06-27,149135.64,0.00,8948.14,8948.14,167031.92
07AAACI2345D1Z6,Infosys Limited,INV-0083,2025-06-28,149167.83,0.00,3729.20,3729.20,156626.23
27AAACJ8765E1Z3,Bharat Petroleum,INV-0084,2025-06-01,22393.31,1119.67,0.00,0.00,23512.98
27AAACK4321F1Z4,ITC Limited,INV-0085,2025-06-02,61090.74,0.00,1527.27,1527.27,64145.28
07AAACL9876G1Z1,Wipro Limited,INV-0086,2025-06-03,215610.67,0.00,5390.27,5390.27,226391.21
27AAACM2468H1Z7,Maruti Suzuki India,INV-0087,2025-06-04,130968.25,23574.28,0.00,0.00,154542.53
27AAACN1357I1Z8,Tata Motors,INV-0088,2025-06-05,168899.56,0.00,10133.97,10133.97,189167.50
07AAACO8642J1Z9,Asian Paints,INV-0089,2025-06-06,137112.31,0.00,19195.72,19195.72,175503.75
27AAACP7531K1Z1,Godrej Industries,INV-0090,2025-06-07,64534.32,18069.61,0.00,0.00,82603.93
07AAACX9999H1Z3,HDFC Bank,INV-0091,2025-06-08,202836.76,0.00,12170.21,12170.21,227177.18
07AAACY7777A1Z5,ICICI Bank,INV-0092,2025-06-09,28109.82,0.00,3935.37,3935.37,35980.56
27AAACL1234Q1Z2,Larsen & Toubro,INV-0093,2025-06-10,91802.90,25704.81,0.00,0.00,117507.71
27AAACM5678R1Z4,Mahindra & Mahindra,INV-0094,2025-06-11,119421.04,0.00,2985.53,2985.53,125392.10
27AAACA2468S1Z6,Adani Enterprises,INV-0095,2025-06-12,169974.31,0.00,4249.36,4249.36,178473.03
27AAACB1357T1Z8,Bajaj Auto,INV-0096,2025-06-13,19850.11,3573.02,0.00,0.00,23423.13
07AAACH8642U1Z1,Hindustan Unilever,INV-0097,2025-06-14,201145.17,0.00,5028.63,5028.63,211202.43
07AAACS7531V1Z3,Sun Pharma,INV-0098,2025-06-15,65920.80,0.00,3955.25,3955.25,73831.30
27AAACC6420W1Z5,Coal India,INV-0099,2025-06-16,136390.01,16366.80,0.00,0.00,152756.81
27AAACN5319X1Z7,NTPC Limited,INV-0100,2025-06-17,108361.00,0.00,9752.49,9752.49,127865.98
27AAACG1234F1Z5,Reliance Industries,INV-0101,2025-06-18,118343.88,0.00,2958.60,2958.60,124261.08
27AAACH5678B1Z2,Tata Steel Limited,INV-0102,2025-06-19,113567.03,5678.35,0.00,0.00,119245.38
07AAACI2345D1Z6,Infosys Limited,INV-0103,2025-06-20,17394.14,0.00,434.85,434.85,18263.84
27AAACJ8765E1Z3,Bharat Petroleum,INV-0104,2025-06-21,242404.08,0.00,14544.24,14544.24,271492.56
27AAACK4321F1Z4,ITC Limited,INV-0105,2025-06-22,45746.22,12808.94,0.00,0.00,58555.16
07AAACL9876G1Z1,Wipro Limited,INV-0106,2025-06-23,122932.81,0.00,17210.59,17210.59,157353.99
27AAACM2468H1Z7,Maruti Suzuki India,INV-0107,2025-06-24,226098.50,0.00,13565.91,13565.91,253230.32
27AAACN1357I1Z8,Tata Motors,INV-0108,2025-06-25,97848.41,27397.55,0.00,0.00,125245.96
07AAACO8642J1Z9,Asian Paints,INV-0109,2025-06-26,69974.75,0.00,9796.47,9796.47,89567.69
27AAACP7531K1Z1,Godrej Industries,INV-0110,2025-06-27,74886.06,0.00,10484.05,10484.05,95854.16
07AAACX9999H1Z3,HDFC Bank,INV-0111,2025-06-28,42925.22,7726.54,0.00,0.00,50651.76
07AAACY7777A1Z5,ICICI Bank,INV-0112,2025-06-01,58336.72,0.00,1458.42,1458.42,61253.56
27AAACL1234Q1Z2,Larsen & Toubro,INV-0113,2025-06-02,146899.17,0.00,3672.48,3672.48,154244.13
27AAACM5678R1Z4,Mahindra & Mahindra,INV-0114,2025-06-03,188254.01,9412.70,0.00,0.00,197666.71
27AAACA2468S1Z6,Adani Enterprises,INV-0115,2025-06-04,17284.87,0.00,2419.88,2419.88,22124.63
27AAACB1357T1Z8,Bajaj Auto,INV-0116,2025-06-05,128198.34,0.00,7691.90,7691.90,143582.14
07AAACH8642U1Z1,Hindustan Unilever,INV-0117,2025-06-06,18935.50,946.78,0.00,0.00,19882.28
07AAACS7531V1Z3,Sun Pharma,INV-0118,2025-06-07,213578.92,0.00,5339.47,5339.47,224257.86
27AAACC6420W1Z5,Coal India,INV-0119,2025-06-08,150783.60,0.00,9047.02,9047.02,168877.64
27AAACN5319X1Z7,NTPC Limited,INV-0120,2025-06-09,103925.01,12471.00,0.00,0.00,116396.01
27AAACG1234F1Z5,Reliance Industries,INV-0121,2025-06-10,146835.17,0.00,3670.88,3670.88,154176.93
27AAACH5678B1Z2,Tata Steel Limited,INV-0122,2025-06-11,156748.47,0.00,21944.79,21944.79,200638.05
07AAACI2345D1Z6,Infosys Limited,INV-0123,2025-06-12,166056.43,29890.16,0.00,0.00,195946.59
27AAACJ8765E1Z3,Bharat Petroleum,INV-0124,2025-06-13,234003.03,0.00,14040.18,14040.18,262083.39
27AAACK4321F1Z4,ITC Limited,INV-0125,2025-06-14,169082.86,0.00,15217.46,15217.46,199517.78
07AAACL9876G1Z1,Wipro Limited,INV-0126,2025-06-15,63478.06,17773.86,0.00,0.00,81251.92
27AAACM2468H1Z7,Maruti Suzuki India,INV-0127,2025-06-16,37065.18,0.00,3335.87,3335.87,43736.92
27AAACN1357I1Z8,Tata Motors,INV-0128,2025-06-17,117020.02,0.00,2925.50,2925.50,122871.02
07AAACO8642J1Z9,Asian Paints,INV-0129,2025-06-18,7282.29,364.11,0.00,0.00,7646.40
27AAACP7531K1Z1,Godrej Industries,INV-0130,2025-06-19,22948.88,0.00,1376.93,1376.93,25702.74
07AAACX9999H1Z3,HDFC Bank,INV-0131,2025-06-20,128941.75,0.00,7736.51,7736.51,144414.77
07AAACY7777A1Z5,ICICI Bank,INV-0132,2025-06-21,233648.55,11682.43,0.00,0.00,245330.98
27AAACL1234Q1Z2,Larsen & Toubro,INV-0133,2025-06-22,220421.21,0.00,19837.91,19837.91,260097.03
27AAACM5678R1Z4,Mahindra & Mahindra,INV-0134,2025-06-23,74821.91,0.00,10475.07,10475.07,95772.05
27AAACA2468S1Z6,Adani Enterprises,INV-0135,2025-06-24,209267.51,37668.15,0.00,0.00,246935.66
27AAACB1357T1Z8,Bajaj Auto,INV-0136,2025-06-25,154861.05,0.00,3871.53,3871.53,162604.11
07AAACH8642U1Z1,Hindustan Unilever,INV-0137,2025-06-26,168626.48,0.00,15176.38,15176.38,198979.24
07AAACS7531V1Z3,Sun Pharma,INV-0138,2025-06-27,233280.23,11664.01,0.00,0.00,244944.24
27AAACC6420W1Z5,Coal India,INV-0139,2025-06-28,235037.85,0.00,14102.27,14102.27,263242.39
27AAACN5319X1Z7,NTPC Limited,INV-0140,2025-06-01,69794.15,0.00,1744.85,1744.85,73283.85
27AAACG1234F1Z5,Reliance Industries,INV-0141,2025-06-02,186892.09,22427.05,0.00,0.00,209319.14
27AAACH5678B1Z2,Tata Steel Limited,INV-0142,2025-06-03,71725.31,0.00,4303.52,4303.52,80332.35
07AAACI2345D1Z6,Infosys Limited,INV-0143,2025-06-04,180814.99,0.00,10848.90,10848.90,202512.79
27AAACJ8765E1Z3,Bharat Petroleum,INV-0144,2025-06-05,173436.80,31218.62,0.00,0.00,204655.42
27AAACK4321F1Z4,ITC Limited,INV-0145,2025-06-06,128825.22,0.00,11594.27,11594.27,152013.76
07AAACL9876G1Z1,Wipro Limited,INV-0146,2025-06-07,226807.44,0.00,5670.19,5670.19,238147.82
27AAACM2468H1Z7,Maruti Suzuki India,INV-0147,2025-06-08,27613.12,7731.67,0.00,0.00,35344.79
27AAACN1357I1Z8,Tata Motors,INV-0148,2025-06-09,208190.28,0.00,5204.76,5204.76,218599.80
07AAACO8642J1Z9,Asian Paints,INV-0149,2025-06-10,5868.69,0.00,352.12,352.12,6572.93
27AAACP7531K1Z1,Godrej Industries,INV-0150,2025-06-11,161092.78,28996.70,0.00,0.00,190089.48
